# Copyright 2026 icecake0141
# SPDX-License-Identifier: Apache-2.0
#
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
#
#     http://www.apache.org/licenses/LICENSE-2.0
#
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and
# limitations under the License.
#
# This file was created or modified with the assistance of an AI (Large Language Model).
# Review required for correctness, security, and licensing.

# Sample CSV for Network Device Configuration Manager

# This is a sample CSV file showing the format for importing devices
# Copy the content below (excluding comment lines) and paste into the Device Import page

host,port,device_type,username,password,name,verify_cmds,host_vars
192.168.1.1,22,cisco_ios,admin,cisco123,Core-Router-01,show running-config | section snmp;show ip interface brief,"{""hostname"":""core-rtr-01"",""site"":""tokyo-dc""}"
192.168.1.2,22,cisco_ios,admin,cisco123,Core-Router-02,show running-config | section snmp;show ip interface brief,"{""hostname"":""core-rtr-02"",""site"":""tokyo-dc""}"
192.168.1.10,22,cisco_ios,admin,cisco123,Access-Switch-01,show vlan brief,"{""hostname"":""acc-sw-01"",""vlan_base"":""100""}"
192.168.1.11,22,cisco_ios,admin,cisco123,Access-Switch-02,show vlan brief,"{""hostname"":""acc-sw-02"",""vlan_base"":""200""}"
10.0.0.1,2222,cisco_ios,admin,admin123,Test-Device,show running-config,"{""hostname"":""test-device"",""site"":""lab""}"

# Column descriptions:
# - host: IP address or hostname (required)
# - port: SSH port (optional, default: 22)
# - device_type: Netmiko device type (required) - see https://github.com/ktbyers/netmiko
# - username: SSH username (required)
# - password: SSH password (required)
# - name: Friendly device name (optional)
# - verify_cmds: Semicolon-separated verification commands (optional)
# - host_vars: JSON object string for per-host template variables (optional)

# Security Warning:
# This CSV contains plaintext passwords. Keep this file secure and do not commit to version control.
